repo_name,language,commit_sha,file_path,fixture_name,fixture_type,start_line,end_line,loc,framework,num_mocks,scope,cyclomatic_complexity,max_nesting_depth,num_parameters,num_objects_instantiated,num_external_calls,has_teardown_pair,github_url,agent_type,commit_kind,commit_type,raw_source,commit_date,repo_age_at_commit_years,is_complete_addition
Arize-ai/openinference,java,02d9ebf897924ba45be9918b90fa338702664ec7,java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java,startWireMock,junit5_before_all,41,45,5,junit,0,per_class,1,1,0,1,0,1,https://github.com/Arize-ai/openinference/blob/02d9ebf897924ba45be9918b90fa338702664ec7/java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java#L41-L45,human,human,test,"@BeforeAll
    static void startWireMock() {
        wireMock = new WireMockServer(WireMockConfiguration.options().dynamicPort());
        wireMock.start();
    }",2026-03-17,2.220396988364134,1
Arize-ai/openinference,java,02d9ebf897924ba45be9918b90fa338702664ec7,java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java,stopWireMock,junit5_after_all,47,50,4,junit,0,per_class,1,1,0,0,0,0,https://github.com/Arize-ai/openinference/blob/02d9ebf897924ba45be9918b90fa338702664ec7/java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java#L47-L50,human,human,test,"@AfterAll
    static void stopWireMock() {
        wireMock.stop();
    }",2026-03-17,2.220396988364134,1
Arize-ai/openinference,java,02d9ebf897924ba45be9918b90fa338702664ec7,java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java,setUp,junit5_before_each,52,60,9,junit,0,per_test,1,1,0,1,0,1,https://github.com/Arize-ai/openinference/blob/02d9ebf897924ba45be9918b90fa338702664ec7/java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java#L52-L60,human,human,test,"@BeforeEach
    void setUp() {
        wireMock.resetAll();
        spanExporter = InMemorySpanExporter.create();
        tracerProvider = SdkTracerProvider.builder()
                .addSpanProcessor(SimpleSpanProcessor.create(spanExporter))
                .build();
        oiTracer = new OITracer(tracerProvider.get(""test""), TraceConfig.getDefault());
    }",2026-03-17,2.220396988364134,1
Arize-ai/openinference,java,02d9ebf897924ba45be9918b90fa338702664ec7,java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java,tearDown,junit5_after_each,62,65,4,junit,0,per_test,1,1,0,0,0,0,https://github.com/Arize-ai/openinference/blob/02d9ebf897924ba45be9918b90fa338702664ec7/java/instrumentation/openinference-instrumentation-langchain4j/src/test/java/com/arize/instrumentation/langchain4j/LangChain4jModelListenerTest.java#L62-L65,human,human,test,"@AfterEach
    void tearDown() {
        tracerProvider.shutdown();
    }",2026-03-17,2.220396988364134,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/MappingTest.java,setUp,junit5_before_each,25,33,9,junit,0,per_test,1,1,0,1,0,1,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/MappingTest.java#L25-L33,human,human,feat,"@BeforeEach
    void setUp() {
        exporter = InMemorySpanExporter.create();
        SdkTracerProvider provider = SdkTracerProvider.builder()
                .addSpanProcessor(SimpleSpanProcessor.create(exporter))
                .build();
        tracer = new OITracer(provider.get(""test""));
        OpenInferenceAgent.register(tracer);
    }",2026-03-25,2.242299794661191,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/MappingTest.java,tearDown,junit5_after_each,35,39,5,junit,0,per_test,1,1,0,0,0,0,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/MappingTest.java#L35-L39,human,human,feat,"@AfterEach
    void tearDown() {
        OpenInferenceAgent.unregister();
        exporter.reset();
    }",2026-03-25,2.242299794661191,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/TraceAdviceTest.java,setUp,junit5_before_each,29,37,9,junit,0,per_test,1,1,0,1,0,1,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/TraceAdviceTest.java#L29-L37,human,human,feat,"@BeforeEach
    void setUp() {
        exporter = InMemorySpanExporter.create();
        SdkTracerProvider provider = SdkTracerProvider.builder()
                .addSpanProcessor(SimpleSpanProcessor.create(exporter))
                .build();
        tracer = new OITracer(provider.get(""test""));
        OpenInferenceAgent.register(tracer);
    }",2026-03-25,2.242299794661191,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/TraceAdviceTest.java,tearDown,junit5_after_each,39,43,5,junit,0,per_test,1,1,0,0,0,0,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/instrumentation/openinference-instrumentation-annotation/src/test/java/com/arize/instrumentation/annotation/TraceAdviceTest.java#L39-L43,human,human,feat,"@AfterEach
    void tearDown() {
        OpenInferenceAgent.unregister();
        exporter.reset();
    }",2026-03-25,2.242299794661191,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/openinference-instrumentation/src/test/java/com/arize/instrumentation/trace/AgentSpanTest.java,setUp,junit5_before_each,20,27,8,junit,0,per_test,1,1,0,1,0,0,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/openinference-instrumentation/src/test/java/com/arize/instrumentation/trace/AgentSpanTest.java#L20-L27,human,human,feat,"@BeforeEach
    void setUp() {
        exporter = InMemorySpanExporter.create();
        SdkTracerProvider provider = SdkTracerProvider.builder()
                .addSpanProcessor(SimpleSpanProcessor.create(exporter))
                .build();
        tracer = new OITracer(provider.get(""test""));
    }",2026-03-25,2.242299794661191,1
Arize-ai/openinference,java,03f153badf7fe6b1b039d68a329018ceb13d0946,java/openinference-instrumentation/src/test/java/com/arize/instrumentation/trace/EmbeddingSpanTest.java,setUp,junit5_before_each,23,30,8,junit,0,per_test,1,1,0,1,0,0,https://github.com/Arize-ai/openinference/blob/03f153badf7fe6b1b039d68a329018ceb13d0946/java/openinference-instrumentation/src/test/java/com/arize/instrumentation/trace/EmbeddingSpanTest.java#L23-L30,human,human,feat,"@BeforeEach
    void setUp() {
        exporter = InMemorySpanExporter.create();
        SdkTracerProvider provider = SdkTracerProvider.builder()
                .addSpanProcessor(SimpleSpanProcessor.create(exporter))
                .build();
        tracer = new OITracer(provider.get(""test""));
    }",2026-03-25,2.242299794661191,1
